Step,AgentsRemaining,ConflictCount,VolunteerActions,ObstaclesRemaining,AvgDFF,AvgAFF
1,88,5,19,21,0.1236,0.1404
2,88,6,5,16,0.0255,0.0057
3,88,5,0,16,0.0057,0.0038
4,88,6,1,15,0.0013,0.0000
5,86,7,0,15,0.0003,0.0000
6,84,7,0,15,0.0001,0.0000
7,84,7,0,15,0.0000,0.0000
8,82,10,0,15,0.0000,0.0000
9,81,7,0,15,0.0000,0.0000
10,80,9,3,12,0.0000,0.0677
11,77,4,1,11,0.0000,0.0198
12,76,13,1,10,0.0000,0.0122
13,73,7,1,9,0.0000,0.0090
14,72,10,0,9,0.0000,0.0000
15,69,10,0,9,0.0000,0.0000
16,69,9,0,9,0.0000,0.0000
17,65,12,0,9,0.0000,0.0000
18,63,9,0,9,0.0000,0.0000
19,57,8,0,9,0.0000,0.0000
20,51,8,0,9,0.0000,0.0055
21,47,4,0,9,0.0000,0.0043
22,41,3,0,9,0.0000,0.0049
23,40,3,1,8,0.0000,0.0000
24,35,3,0,8,0.0000,0.0000
25,31,1,0,8,0.0000,0.0000
26,28,1,0,8,0.0000,0.0000
27,27,1,0,8,0.0000,0.0000
28,25,1,0,8,0.0000,0.0000
29,23,3,0,8,0.0000,0.0000
30,22,1,0,8,0.0000,0.0000
31,18,1,0,8,0.0000,0.0000
32,15,1,0,8,0.0000,0.0000
33,13,1,0,8,0.0000,0.0000
34,12,0,0,8,0.0000,0.0000
35,10,2,0,8,0.0000,0.0000
36,10,1,0,8,0.0000,0.0000
37,10,0,0,8,0.0000,0.0000
38,9,0,0,8,0.0000,0.0000
39,7,0,0,8,0.0000,0.0000
40,6,1,0,8,0.0000,0.0000
41,6,0,0,8,0.0000,0.0000
42,6,0,0,8,0.0000,0.0000
43,4,0,0,8,0.0000,0.0000
44,4,0,0,8,0.0000,0.0000
45,4,0,0,8,0.0000,0.0000
46,4,0,0,8,0.0000,0.0000
47,4,0,0,8,0.0000,0.0000
48,4,0,0,8,0.0000,0.0000
49,4,0,0,8,0.0000,0.0000
50,2,0,0,8,0.0000,0.0000
51,1,0,0,8,0.0000,0.0000
52,0,0,0,8,0.0000,0.0000
