RunID,AgentID,EvacuationStep,EvacuationTime
run001,-1240248,5,1.51
run001,-1240052,6,1.80
run001,-1239716,8,2.40
run001,-1240500,8,2.40
run001,-1240318,9,2.70
run001,-1240486,10,3.00
run001,-1240234,11,3.30
run001,-1240430,12,3.60
run001,-1240514,12,3.60
run001,-1240402,13,3.90
run001,-1239758,14,4.21
run001,-1240206,14,4.21
run001,-1240290,14,4.21
run001,-1240472,15,4.51
run001,-1239688,16,4.80
run001,-1239744,16,4.80
run001,-1240192,16,4.80
run001,-1240374,16,4.80
run001,-1239800,17,5.10
run001,-1240122,17,5.10
run001,-1239940,18,5.40
run001,-1239772,19,5.70
run001,-1239926,19,5.70
run001,-1240010,19,5.70
run001,-1240094,19,5.70
run001,-1240164,19,5.70
run001,-1240458,19,5.70
run001,-1239786,20,6.00
run001,-1240220,20,6.00
run001,-1240262,20,6.00
run001,-1240346,20,6.00
run001,-1239954,21,6.30
run001,-1239982,21,6.30
run001,-1240276,21,6.30
run001,-1240416,21,6.30
run001,-1239730,22,6.60
run001,-1239814,22,6.60
run001,-1239856,23,6.90
run001,-1239912,23,6.90
run001,-1239968,24,7.20
run001,-1239996,24,7.20
run001,-1239870,25,7.51
run001,-1240108,25,7.51
run001,-1239898,28,8.40
run001,-1240136,28,8.40
run001,-1239884,29,8.70
run001,-1240150,29,8.70
run001,-1240444,29,8.70
run001,-1239702,30,9.00
run001,-1239842,30,9.00
run001,-1240066,32,9.60
run001,-1240178,33,9.90
run001,-1240360,33,9.90
run001,-1240388,34,10.20
run001,-1240038,35,10.50
run001,-1240332,36,10.80
run001,-1240024,37,11.10
run001,-1239828,38,11.40
run001,-1240080,39,11.70
run001,-1241810,11,3.30
run001,-1241138,12,3.60
run001,-1241292,12,3.60
run001,-1241558,12,3.60
run001,-1241740,12,3.60
run001,-1241782,12,3.60
run001,-1241684,13,3.90
run001,-1241754,13,3.90
run001,-1241404,14,4.20
run001,-1241656,14,4.20
run001,-1241894,14,4.20
run001,-1241306,15,4.50
run001,-1241474,15,4.50
run001,-1241572,15,4.50
run001,-1241726,15,4.50
run001,-1241838,15,4.50
run001,-1241264,16,4.80
run001,-1241446,16,4.80
run001,-1241530,16,4.80
run001,-1241110,18,5.40
run001,-1241544,18,5.40
run001,-1241600,18,5.40
run001,-1241362,19,5.70
run001,-1241488,19,5.70
run001,-1241880,19,5.70
run001,-1241390,20,6.01
run001,-1241628,20,6.01
run001,-1241796,20,6.01
run001,-1241082,21,6.30
run001,-1241222,21,6.30
run001,-1241348,21,6.30
run001,-1241614,21,6.30
run001,-1241586,22,6.61
run001,-1241768,22,6.61
run001,-1241866,22,6.61
run001,-1241194,23,6.91
run001,-1241236,23,6.91
run001,-1241460,23,6.91
run001,-1241698,23,6.91
run001,-1241152,24,7.21
run001,-1241502,24,7.21
run001,-1241712,24,7.21
run001,-1241068,25,7.50
run001,-1241180,25,7.50
run001,-1241516,25,7.50
run001,-1241824,25,7.50
run001,-1241166,27,8.10
run001,-1241670,27,8.10
run001,-1241278,28,8.41
run001,-1241250,31,9.30
run001,-1241376,31,9.30
run001,-1241642,31,9.30
run001,-1241096,32,9.60
run001,-1241334,32,9.60
run001,-1241124,33,9.91
run001,-1241418,37,11.11
run001,-1241852,38,11.40
run001,-1241320,39,11.70
run001,-1241432,51,15.30
run001,-1242208,6,1.80
run001,-1242376,8,2.40
run001,-1242166,9,2.70
run001,-1242698,9,2.70
run001,-1242460,10,3.01
run001,-1242572,10,3.01
run001,-1242446,11,3.31
run001,-1242586,11,3.31
run001,-1242516,12,3.60
run001,-1242628,12,3.60
run001,-1242292,13,3.90
run001,-1242306,13,3.90
run001,-1242544,13,3.90
run001,-1242600,13,3.90
run001,-1242782,14,4.20
run001,-1242012,16,4.81
run001,-1242124,16,4.81
run001,-1242432,16,4.81
run001,-1242824,16,4.81
run001,-1242656,17,5.10
run001,-1242740,17,5.10
run001,-1242236,18,5.40
run001,-1242348,18,5.40
run001,-1242768,18,5.40
run001,-1242838,18,5.40
run001,-1242180,19,5.70
run001,-1242264,19,5.70
run001,-1242390,19,5.70
run001,-1242614,20,6.00
run001,-1242670,20,6.00
run001,-1242096,21,6.30
run001,-1242110,21,6.30
run001,-1242068,22,6.60
run001,-1242250,22,6.60
run001,-1242026,23,6.90
run001,-1242152,23,6.90
run001,-1242474,23,6.90
run001,-1242488,23,6.90
run001,-1242810,23,6.90
run001,-1242320,24,7.20
run001,-1242796,24,7.20
run001,-1242194,25,7.51
run001,-1242684,25,7.51
run001,-1242754,25,7.51
run001,-1242530,26,7.81
run001,-1242404,27,8.10
run001,-1242040,28,8.40
run001,-1242222,28,8.40
run001,-1242418,28,8.40
run001,-1242278,29,8.70
run001,-1242082,31,9.30
run001,-1242362,31,9.30
run001,-1242502,33,9.90
run001,-1242334,34,10.21
run001,-1242054,35,10.50
run001,-1242138,35,10.50
run001,-1242712,38,11.40
run001,-1242726,38,11.40
run001,-1243292,2,0.61
run001,-1243530,6,1.81
run001,-1243166,9,2.71
run001,-1243488,11,3.30
run001,-1243614,11,3.30
run001,-1243628,13,3.90
run001,-1243670,13,3.90
run001,-1243054,14,4.21
run001,-1243376,14,4.21
run001,-1243348,15,4.50
run001,-1243586,15,4.50
run001,-1243712,15,4.50
run001,-1243446,16,4.80
run001,-1243124,17,5.10
run001,-1243194,17,5.10
run001,-1243334,17,5.10
run001,-1243418,17,5.10
run001,-1243558,17,5.10
run001,-1243726,17,5.10
run001,-1243012,18,5.40
run001,-1243236,18,5.40
run001,-1243740,18,5.40
run001,-1243278,19,5.70
run001,-1243026,20,6.00
run001,-1243082,20,6.00
run001,-1243138,20,6.00
run001,-1243404,20,6.00
run001,-1243516,20,6.00
run001,-1243656,20,6.00
run001,-1242956,21,6.30
run001,-1243208,21,6.30
run001,-1243152,22,6.61
run001,-1243222,22,6.61
run001,-1243684,22,6.61
run001,-1243754,22,6.61
run001,-1243250,23,6.90
run001,-1243306,23,6.90
run001,-1243698,23,6.90
run001,-1243782,23,6.90
run001,-1242984,24,7.20
run001,-1243110,24,7.20
run001,-1243502,24,7.20
run001,-1243572,24,7.20
run001,-1243264,25,7.51
run001,-1243544,25,7.51
run001,-1243642,25,7.51
run001,-1243096,26,7.80
run001,-1243180,26,7.80
run001,-1243390,26,7.80
run001,-1243460,31,9.30
run001,-1243362,32,9.60
run001,-1242970,33,9.90
run001,-1242998,34,10.20
run001,-1243600,36,10.80
run001,-1243768,36,10.80
run001,-1243474,41,12.30
run001,-1243320,44,13.20
run001,-1243432,45,13.50
run001,-1243040,46,13.80
run001,-1244544,7,2.10
run001,-1243900,11,3.31
run001,-1244110,11,3.31
run001,-1244334,11,3.31
run001,-1244614,11,3.31
run001,-1244054,14,4.21
run001,-1244138,14,4.21
run001,-1244152,14,4.21
run001,-1244124,16,4.80
run001,-1244194,17,5.10
run001,-1244348,17,5.10
run001,-1244558,17,5.10
run001,-1244250,18,5.40
run001,-1244306,18,5.40
run001,-1244502,18,5.40
run001,-1244572,18,5.40
run001,-1243858,19,5.71
run001,-1243942,19,5.71
run001,-1244208,19,5.71
run001,-1244474,19,5.71
run001,-1244068,20,6.01
run001,-1244460,20,6.01
run001,-1244586,20,6.01
run001,-1243844,21,6.30
run001,-1243914,21,6.30
run001,-1244516,21,6.30
run001,-1243802,22,6.61
run001,-1244026,22,6.61
run001,-1244180,22,6.61
run001,-1244362,22,6.61
run001,-1243928,23,6.90
run001,-1243956,23,6.90
run001,-1244278,23,6.90
run001,-1244404,23,6.90
run001,-1243816,24,7.21
run001,-1244040,24,7.21
run001,-1244236,24,7.21
run001,-1244222,25,7.50
run001,-1244320,25,7.50
run001,-1244600,25,7.50
run001,-1243830,26,7.80
run001,-1243872,27,8.11
run001,-1244446,27,8.11
run001,-1243984,28,8.40
run001,-1244292,28,8.40
run001,-1244390,28,8.40
run001,-1244488,28,8.40
run001,-1243886,29,8.70
run001,-1244376,29,8.70
run001,-1244628,29,8.70
run001,-1243998,30,9.00
run001,-1244012,30,9.00
run001,-1244082,30,9.00
run001,-1244530,31,9.30
run001,-1244432,35,10.50
run001,-1244096,36,10.80
run001,-1244166,39,11.70
run001,-1244264,41,12.30
run001,-1244418,47,14.11
run001,-1245334,2,0.60
run001,-1245040,8,2.41
run001,-1245306,8,2.41
run001,-1244830,10,3.00
run001,-1244690,12,3.60
run001,-1244942,12,3.60
run001,-1245390,12,3.60
run001,-1245432,12,3.60
run001,-1244732,13,3.90
run001,-1244928,13,3.90
run001,-1245348,13,3.90
run001,-1244956,14,4.20
run001,-1244970,14,4.20
run001,-1245208,14,4.20
run001,-1245124,15,4.51
run001,-1245404,15,4.51
run001,-1244718,16,4.81
run001,-1244802,16,4.81
run001,-1245026,16,4.81
run001,-1245264,16,4.81
run001,-1245068,17,5.10
run001,-1245012,18,5.40
run001,-1245166,18,5.40
run001,-1245292,18,5.40
run001,-1245362,18,5.40
run001,-1244704,19,5.70
run001,-1244844,19,5.70
run001,-1244998,19,5.70
run001,-1245082,20,6.00
run001,-1245418,20,6.00
run001,-1245460,20,6.00
run001,-1244984,21,6.30
run001,-1245320,21,6.30
run001,-1244760,22,6.60
run001,-1245180,22,6.60
run001,-1245474,22,6.60
run001,-1244662,23,6.90
run001,-1245222,23,6.90
run001,-1244648,24,7.20
run001,-1244676,24,7.20
run001,-1244872,24,7.20
run001,-1245138,24,7.20
run001,-1244746,25,7.50
run001,-1244886,25,7.50
run001,-1245376,25,7.50
run001,-1244774,26,7.80
run001,-1245278,26,7.80
run001,-1245446,26,7.80
run001,-1244900,27,8.10
run001,-1245054,27,8.10
run001,-1244788,28,8.41
run001,-1244858,28,8.41
run001,-1244914,28,8.41
run001,-1245236,29,8.70
run001,-1245250,31,9.30
run001,-1245152,36,10.80
run001,-1245096,37,11.10
run001,-1244816,38,11.40
run001,-1245110,39,11.70
run001,-1246082,2,0.60
run001,-1245718,7,2.10
run001,-1246026,7,2.10
run001,-1245900,8,2.40
run001,-1246306,9,2.70
run001,-1246180,10,3.00
run001,-1245760,11,3.30
run001,-1246124,11,3.30
run001,-1245942,13,3.90
run001,-1245494,14,4.20
run001,-1246208,14,4.20
run001,-1245956,15,4.50
run001,-1246096,15,4.50
run001,-1245830,16,4.80
run001,-1246012,17,5.10
run001,-1246264,17,5.10
run001,-1245746,18,5.40
run001,-1245788,18,5.40
run001,-1246250,18,5.40
run001,-1245592,19,5.70
run001,-1245662,20,6.00
run001,-1245872,20,6.00
run001,-1246166,20,6.00
run001,-1246194,20,6.00
run001,-1245550,21,6.30
run001,-1245564,21,6.30
run001,-1245704,22,6.60
run001,-1245802,24,7.20
run001,-1245886,24,7.20
run001,-1245928,24,7.20
