Strategy,Probabilistic
useLLMVolunteerDecision,False
volunteerCount,5
obstacleCount,40
agentCount,90
stepInterval,0.3
mapWidth,30
mapHeight,30
batchRunCount,30
kStatic,1
kDynamic,1
kAnticipation,1
movementTemperature,1
summaryMetric,90pct_evacuated
ninetyPercentFallbackSteps,150

BatchSize,Strategy,AvgSteps,StdSteps,MinSteps,MaxSteps,AvgTime,StdTime,MinTime,MaxTime,Reached90PctAllRuns,SuccessRuns90Pct,FailedRuns
30,Probabilistic,36.77,2.11,32,43,11.03,0.63,9.60,12.90,true,30,0
